
> kids-painting-frontend@1.0.0 dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m

  VITE v5.4.20  ready in 2286 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
9:44:20 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:44:31 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:44:49 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:44:58 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:45:06 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:45:24 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:45:39 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:46:46 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:49:31 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:49:39 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:53:55 PM [vite] page reload src/locales/en/translation.json
9:54:04 PM [vite] page reload src/locales/es/translation.json
9:54:14 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:56:05 PM [vite] hmr update /src/components/InteractiveColoring.tsx
9:56:36 PM [vite] hmr update /src/pages/HomePage.tsx
9:57:48 PM [vite] hmr update /src/pages/HomePage.tsx
9:57:48 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:08:09 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:08:19 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:09:30 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:10:22 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:10:30 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:11:34 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:12:57 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:13:26 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:15:27 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:15:42 PM [vite] hmr update /src/components/InteractiveColoring.tsx
10:48:22 PM [vite] hmr update /src/pages/HomePage.tsx
10:48:39 PM [vite] hmr update /src/pages/HomePage.tsx
10:48:56 PM [vite] hmr update /src/components/SearchBar.tsx
10:49:11 PM [vite] hmr update /src/components/SearchBar.tsx
10:49:23 PM [vite] hmr update /src/components/SearchBar.tsx
10:50:55 PM [vite] hmr update /src/pages/HomePage.tsx
10:50:55 PM [vite] hmr update /src/components/SearchBar.tsx
11:09:40 PM [vite] hmr update /src/App.tsx
11:09:51 PM [vite] hmr update /src/App.tsx
11:10:02 PM [vite] hmr update /src/App.tsx
11:10:16 PM [vite] hmr update /src/components/Footer.tsx
11:16:09 PM [vite] hmr update /src/components/Footer.tsx
11:17:23 PM [vite] hmr update /src/pages/SitemapPage.tsx
11:17:30 PM [vite] hmr update /src/App.tsx
11:17:39 PM [vite] hmr update /src/App.tsx
11:17:46 PM [vite] hmr update /src/App.tsx
11:20:07 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
11:20:07 PM [vite] hmr update /src/components/Footer.tsx
11:20:07 PM [vite] hmr update /src/pages/SitemapPage.tsx
11:20:07 PM [vite] hmr update /src/App.tsx
11:31:38 PM [vite] page reload src/locales/en/translation.json
11:31:57 PM [vite] page reload src/locales/es/translation.json
11:32:10 PM [vite] hmr update /src/pages/SitemapPage.tsx
11:32:18 PM [vite] hmr update /src/pages/SitemapPage.tsx
11:32:26 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
11:32:39 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
11:32:47 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
11:34:20 PM [vite] page reload src/locales/es/translation.json
11:34:20 PM [vite] hmr update /src/pages/SitemapPage.tsx
11:34:20 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
11:34:20 PM [vite] page reload src/locales/en/translation.json
4:05:57 PM [vite] hmr update /src/pages/HomePage.tsx
4:06:13 PM [vite] hmr update /src/pages/CategoriesPage.tsx
4:06:37 PM [vite] page reload src/locales/en/translation.json
4:07:59 PM [vite] page reload src/locales/es/translation.json
4:11:15 PM [vite] hmr update /src/pages/HomePage.tsx
4:11:15 PM [vite] hmr update /src/pages/CategoriesPage.tsx
4:11:15 PM [vite] page reload src/locales/en/translation.json
4:11:15 PM [vite] page reload src/locales/es/translation.json
5:20:56 PM [vite] hmr update /src/components/InteractiveColoring.tsx
5:21:08 PM [vite] hmr update /src/components/InteractiveColoring.tsx
5:22:10 PM [vite] hmr update /src/components/InteractiveColoring.tsx
5:55:46 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
5:55:55 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
5:55:55 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
5:56:04 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
5:56:28 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
5:56:51 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
5:57:03 PM [vite] hmr update /src/pages/SitemapPage.tsx
5:57:14 PM [vite] hmr update /src/pages/SitemapPage.tsx
